time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa10_exact,enrolments_pa10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,national,E92000001,England,,,,,,Pupil Referral Unit,349,40175,7771278,2637752,1488865,1148887,33.9,19.2,14.8,29680,73.9,339006,58094,2056,26366,2262,7759,.,104285,928620,1468448,15528,47969,1046413,22446,1132356,2600804
six half terms,201617,regional,E92000001,England,E12000001,North East,,,,Pupil Referral Unit,19,1975,449222,162077,79610,82467,36.1,17.7,18.4,1585,80.1,19825,4119,22,585,59,509,.,7073,47418,79610,966,2822,76212,2467,82467,162077
six half terms,201617,regional,E92000001,England,E12000002,North West,,,,Pupil Referral Unit,50,6550,1405831,490334,248094,242240,34.9,17.6,17.2,4895,74.7,59838,11195,329,3841,538,1412,.,21981,139455,238589,2568,8629,211300,6361,228858,467447
six half terms,201617,regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Pupil Referral Unit,37,3540,774480,228022,107124,120898,29.4,13.8,15.6,2445,69.1,34119,5515,328,732,113,982,.,9114,56207,107110,2504,1918,115071,1405,120898,228008
six half terms,201617,regional,E92000001,England,E12000004,East Midlands,,,,Pupil Referral Unit,22,3380,382264,102007,55072,46935,26.7,14.4,12.3,2405,71.2,12692,2100,72,2679,38,339,.,3949,25110,46979,1103,2379,43090,239,46811,93790
six half terms,201617,regional,E92000001,England,E12000005,West Midlands,,,,Pupil Referral Unit,41,4165,918895,319899,190683,129216,34.8,20.8,14.1,3130,75.1,43395,6124,430,2330,2,930,.,11837,125635,190683,1884,3988,118405,4939,129216,319899
six half terms,201617,regional,E92000001,England,E12000006,East of England,,,,Pupil Referral Unit,39,3620,815024,312848,214898,97950,38.4,26.4,12,2860,79,35780,5590,113,4392,340,716,.,13892,153630,214453,1332,5372,90355,560,97619,312072
six half terms,201617,regional,E92000001,England,E12000008,South East,,,,Pupil Referral Unit,46,5105,1024348,394139,243627,150512,38.5,23.8,14.7,3945,77.2,44380,8672,83,5989,262,673,.,11349,172113,243521,1844,5417,142182,1054,150497,394018
six half terms,201617,regional,E92000001,England,E12000009,South West,,,,Pupil Referral Unit,34,4600,751493,277859,201761,76098,37,26.8,10.1,3665,79.6,42057,6202,44,769,757,984,.,9108,141840,201761,1168,3315,69495,2120,76098,277859
six half terms,201617,regional,E92000001,England,E13000001,Inner London,,,,Pupil Referral Unit,29,3315,540780,146786,57188,89598,27.1,10.6,16.6,2090,63,18149,3896,368,2113,27,646,.,8843,21523,55565,1058,3410,82163,383,87014,142579
