time_identifier,time_period,geographic_level,country_code,country_name,school_type,percentage_band,percentage,enrolments_overall,enrolments_overall_percent,enrolments_authorised,enrolments_authorised_percent,enrolments_unauthorised,enrolments_unauthorised_percent
six half terms,201617,national,E92000001,England,Total,Total,Total,6899770,100,6899770,100,6899770,100
six half terms,201617,national,E92000001,England,Total,0.00-9.99,0,566965,8.2,777185,11.3,4086795,59.2
six half terms,201617,national,E92000001,England,Total,0.00-9.99,0.01 - 0.99,736260,10.7,938655,13.6,974555,14.1
six half terms,201617,national,E92000001,England,Total,0.00-9.99,1.00 - 1.99,1125315,16.3,1355730,19.6,597960,8.7
six half terms,201617,national,E92000001,England,Total,0.00-9.99,2.00 - 2.99,931980,13.5,1025695,14.9,387055,5.6
six half terms,201617,national,E92000001,England,Total,0.00-9.99,3.00 - 3.99,762080,11,762440,11.1,239445,3.5
six half terms,201617,national,E92000001,England,Total,0.00-9.99,4.00 - 4.99,518830,7.5,482900,7,132905,1.9
six half terms,201617,national,E92000001,England,Total,0.00-9.99,5.00 - 5.99,492285,7.1,424300,6.1,116010,1.7
six half terms,201617,national,E92000001,England,Total,0.00-9.99,6.00 - 6.99,375360,5.4,298780,4.3,74370,1.1
six half terms,201617,national,E92000001,England,Total,0.00-9.99,7.00 - 7.99,286275,4.1,212475,3.1,50890,0.7
six half terms,201617,national,E92000001,England,Total,0.00-9.99,8.00 - 8.99,217620,3.2,149555,2.2,36725,0.5
six half terms,201617,national,E92000001,England,Total,0.00-9.99,9.00 - 9.99,142525,2.1,92010,1.3,23890,0.3
six half terms,201617,national,E92000001,England,Total,10.00-19.99,10.00 - 10.99,134190,1.9,82170,1.2,23685,0.3
six half terms,201617,national,E92000001,England,Total,10.00-19.99,11.00 - 11.99,99330,1.4,57200,0.8,18095,0.3
six half terms,201617,national,E92000001,England,Total,10.00-19.99,12.00 - 12.99,75810,1.1,42020,0.6,14635,0.2
six half terms,201617,national,E92000001,England,Total,10.00-19.99,13.00 - 13.99,58030,0.8,30740,0.4,11470,0.2
six half terms,201617,national,E92000001,England,Total,10.00-19.99,14.00 - 14.99,43360,0.6,22605,0.3,9120,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,15.00 - 15.99,39115,0.6,19670,0.3,8545,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,16.00 - 16.99,31705,0.5,15790,0.2,7390,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,17.00 - 17.99,26055,0.4,12240,0.2,6165,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,18.00 - 18.99,21055,0.3,9895,0.1,5350,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,19.00 - 19.99,16450,0.2,7470,0.1,4130,0.1
six half terms,201617,national,E92000001,England,Total,20.00-29.99,20.00 - 20.99,17135,0.2,7950,0.1,4975,0.1
six half terms,201617,national,E92000001,England,Total,20.00-29.99,21.00 - 21.99,13530,0.2,6270,0.1,3730,0.1
six half terms,201617,national,E92000001,England,Total,20.00-29.99,22.00 - 22.99,11775,0.2,5175,0.1,3365,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,23.00 - 23.99,10460,0.2,4605,0.1,3015,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,24.00 - 24.99,8010,0.1,3315,0,2320,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,25.00 - 25.99,9370,0.1,4135,0.1,2985,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,26.00 - 26.99,7255,0.1,3185,0,2335,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,27.00 - 27.99,6520,0.1,2720,0,2040,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,28.00 - 28.99,6045,0.1,2605,0,2060,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,29.00 - 29.99,4920,0.1,1930,0,1695,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,30.00 - 30.99,5450,0.1,2250,0,1835,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,31.00 - 31.99,4520,0.1,1860,0,1550,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,32.00 - 32.99,4270,0.1,1675,0,1490,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,33.00 - 33.99,4305,0.1,1900,0,1590,0
